"","source.type","pucid","PUC_level1","PUC_level2","PUC_level3","variable","units","dist.type","mean","CV","min.age","max.age","gender"
"7","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","duration","minutes","lognormal",20,1,0,99,"B"
"11","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","f.contact","[-]","point",1,0,0,99,"B"
"3","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","f.drain","[-]","uniform",1,0,0,99,"B"
"1","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","f.residual","[-]","point",0.01,0,0,99,"B"
"12","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","house.prev","[-]","point",0.2,1,0,99,"B"
"4","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","mass","g","lognormal",15,1,0,99,"B"
"5","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.freq","1/year","lognormal",12,1,0,12,"B"
"6","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.freq","1/year","lognormal",6,1,13,99,"B"
"8","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.prev","[-]","point",0.2,1,0,12,"B"
"9","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.prev","[-]","point",0.01,1,13,99,"M"
"10","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.prev","[-]","point",0.01,1,13,99,"W"
"2","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","volume","m^3","point",24,0,0,99,"B"
"18","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","duration","minutes","lognormal",30,1,0,99,"B"
"22","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","f.contact","[-]","point",0.05,0,0,99,"B"
"15","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","f.drain","[-]","uniform",0.15,0.577350269189626,0,99,"B"
"13","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","f.residual","[-]","point",0.01,0,0,99,"B"
"23","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","house.prev","[-]","point",0.6,1,0,99,"B"
"16","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","mass","g","lognormal",20,1,0,99,"B"
"17","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","use.freq","1/year","lognormal",12,1,0,99,"B"
"19","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","use.prev","[-]","point",0.6,1,0,12,"B"
"20","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","use.prev","[-]","point",0.05,1,13,99,"M"
"21","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","use.prev","[-]","point",0.05,1,13,99,"W"
"14","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","volume","m^3","point",24,0,0,99,"B"
"29","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","duration","minutes","lognormal",30,1,0,99,"B"
"33","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","f.contact","[-]","point",0.001,0,0,99,"B"
"24","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","f.residual","[-]","point",0.01,0,0,99,"B"
"34","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","house.prev","[-]","point",1,1,0,99,"B"
"26","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","mass","g","lognormal",0.1,1,0,99,"B"
"27","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.freq","1/year","lognormal",52,1,0,12,"B"
"28","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.freq","1/year","lognormal",12,1,13,99,"B"
"30","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.prev","[-]","point",1,1,0,12,"B"
"31","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.prev","[-]","point",0.05,1,13,99,"M"
"32","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.prev","[-]","point",0.05,1,13,99,"W"
"25","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","volume","m^3","point",24,0,0,99,"B"
"40","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","duration","minutes","lognormal",45,1,0,99,"B"
"44","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","f.contact","[-]","point",0.5,0,0,99,"B"
"37","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","f.drain","[-]","uniform",0.15,0.577350269189626,0,99,"B"
"35","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","f.residual","[-]","point",0.01,0,0,99,"B"
"45","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","house.prev","[-]","point",0.2,1,0,99,"B"
"38","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","mass","g","lognormal",20,1,0,99,"B"
"39","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","use.freq","1/year","lognormal",100,1,0,99,"B"
"41","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","use.prev","[-]","point",0.2,1,0,12,"B"
"42","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","use.prev","[-]","point",0,1,13,99,"M"
"43","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","use.prev","[-]","point",0.01,1,13,99,"W"
"36","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","volume","m^3","point",24,0,0,99,"B"
"50","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","duration","minutes","lognormal",20,1,0,99,"B"
"54","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","f.contact","[-]","point",0.2,0,0,99,"B"
"46","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","f.residual","[-]","point",0.01,0,0,99,"B"
"55","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","house.prev","[-]","point",0.4,1,0,99,"B"
"48","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","mass","g","lognormal",350,1,0,99,"B"
"49","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","use.freq","1/year","lognormal",52,1,0,99,"B"
"51","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","use.prev","[-]","point",0.4,1,0,12,"B"
"52","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","use.prev","[-]","point",0.01,1,13,99,"M"
"53","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","use.prev","[-]","point",0.05,1,13,99,"W"
"47","product","AC.0200.040","arts and crafts/office supplies","children's art and toys","modeling clay","volume","m^3","point",24,0,0,99,"B"
"61","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","duration","minutes","lognormal",30,1,0,99,"B"
"65","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","f.contact","[-]","point",0.028,0,0,99,"B"
"58","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","f.drain","[-]","uniform",1,0,0,99,"B"
"56","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","f.residual","[-]","point",0.01,0,0,99,"B"
"66","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","house.prev","[-]","point",0.01,1,0,99,"B"
"59","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","mass","g","lognormal",50,1,0,99,"B"
"60","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","use.freq","1/year","lognormal",4,1,0,99,"B"
"62","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","use.prev","[-]","point",0.01,1,0,12,"B"
"63","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","use.prev","[-]","point",0.01,1,13,99,"M"
"64","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","use.prev","[-]","point",0.01,1,13,99,"W"
"57","product","AC.0300.010","arts and crafts/office supplies","fabric treatment and dye","fabric dye","volume","m^3","point",24,0,0,99,"B"
"72","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","duration","minutes","lognormal",30,1,0,99,"B"
"76","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","f.contact","[-]","point",0.093,0,0,99,"B"
"69","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","f.drain","[-]","uniform",0.05,0.577350269189626,0,99,"B"
"67","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","f.residual","[-]","point",0.01,0,0,99,"B"
"77","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","house.prev","[-]","point",0.02,1,0,99,"B"
"70","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","mass","g","lognormal",15,1,0,99,"B"
"71","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","use.freq","1/year","lognormal",4,1,0,99,"B"
"73","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","use.prev","[-]","point",0.02,1,0,12,"B"
"74","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","use.prev","[-]","point",0.01,1,13,99,"M"
"75","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","use.prev","[-]","point",0.02,1,13,99,"W"
"68","product","AC.0300.020","arts and crafts/office supplies","fabric treatment and dye","fabric paints and sealers","volume","m^3","point",24,0,0,99,"B"
"82","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","duration","minutes","lognormal",60,1,0,99,"B"
"86","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","f.contact","[-]","point",0.01,0,0,99,"B"
"79","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","f.drain","[-]","uniform",0.15,0.577350269189626,0,99,"B"
"87","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","house.prev","[-]","point",0.01,1,0,99,"B"
"80","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","mass","g","lognormal",100,1,0,99,"B"
"81","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","use.freq","1/year","lognormal",1,1,0,99,"B"
"83","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","use.prev","[-]","point",0.01,1,0,12,"B"
"84","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","use.prev","[-]","point",0.01,1,13,99,"M"
"85","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","use.prev","[-]","point",0.01,1,13,99,"W"
"78","product","AC.0400.010","arts and crafts/office supplies","fogger","fogger","volume","m^3","point",24,0,0,99,"B"
"93","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","duration","minutes","lognormal",22,1,0,99,"B"
"97","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","f.contact","[-]","point",0.017,0,0,99,"B"
"90","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","f.drain","[-]","uniform",0.05,0.577350269189626,0,99,"B"
"88","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","f.residual","[-]","point",0.01,0,0,99,"B"
"98","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","house.prev","[-]","point",0.4,1,0,99,"B"
"91","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","mass","g","lognormal",30,1,0,99,"B"
"92","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","use.freq","1/year","lognormal",22,1,0,99,"B"
"94","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","use.prev","[-]","point",0.4,1,0,12,"B"
"95","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","use.prev","[-]","point",0.26,1,13,99,"M"
"96","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","use.prev","[-]","point",0.26,1,13,99,"W"
"89","product","AC.0500.010","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts adhesive","volume","m^3","point",24,0,0,99,"B"
"104","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","duration","minutes","lognormal",5,1,0,99,"B"
"108","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","f.contact","[-]","point",0.01,0,0,99,"B"
"101","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","f.drain","[-]","uniform",1,0,0,99,"B"
"99","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","f.residual","[-]","point",0.01,0,0,99,"B"
"109","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","house.prev","[-]","point",0.02,1,0,99,"B"
"102","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","mass","g","lognormal",15,1,0,99,"B"
"103","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","use.freq","1/year","lognormal",12,1,0,99,"B"
"105","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","use.prev","[-]","point",0.02,1,0,12,"B"
"106","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","use.prev","[-]","point",0.01,1,13,99,"M"
"107","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","use.prev","[-]","point",0.02,1,13,99,"W"
"100","product","AC.0500.020","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts cleaner","volume","m^3","point",24,0,0,99,"B"
"115","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","duration","minutes","lognormal",30,1,0,99,"B"
"119","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","f.contact","[-]","point",0.01,0,0,99,"B"
"112","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","f.drain","[-]","uniform",0.05,0.577350269189626,0,99,"B"
"110","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","f.residual","[-]","point",0.01,0,0,99,"B"
"120","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","house.prev","[-]","point",0.02,1,0,99,"B"
"113","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","mass","g","lognormal",50,1,0,99,"B"
"114","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","use.freq","1/year","lognormal",12,1,0,99,"B"
"116","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","use.prev","[-]","point",0.02,1,0,12,"B"
"117","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","use.prev","[-]","point",0.01,1,13,99,"M"
"118","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","use.prev","[-]","point",0.02,1,13,99,"W"
"111","product","AC.0500.030","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts finish","volume","m^3","point",24,0,0,99,"B"
"126","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","duration","minutes","lognormal",30,1,0,99,"B"
"130","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","f.contact","[-]","point",0.047,0,0,99,"B"
"123","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","f.drain","[-]","uniform",0.05,0.577350269189626,0,99,"B"
"121","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","f.residual","[-]","point",0.01,0,0,99,"B"
"131","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","house.prev","[-]","point",0.4,1,0,99,"B"
"124","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","mass","g","lognormal",30,1,0,99,"B"
"125","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","use.freq","1/year","lognormal",24,1,0,99,"B"
"127","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","use.prev","[-]","point",0.4,1,0,12,"B"
"128","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","use.prev","[-]","point",0.05,1,13,99,"M"
"129","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","use.prev","[-]","point",0.2,1,13,99,"W"
"122","product","AC.0500.040","arts and crafts/office supplies","general arts and crafts supplies","arts and crafts paint","volume","m^3","point",24,0,0,99,"B"
"137","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","duration","minutes","lognormal",30,1,0,99,"B"
"141","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","f.contact","[-]","point",0.047,0,0,99,"B"
"134","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","f.drain","[-]","uniform",0.15,0.577350269189626,0,99,"B"
"132","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","f.residual","[-]","point",0.01,0,0,99,"B"
"142","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","house.prev","[-]","point",0.3,1,0,99,"B"
"135","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","mass","g","lognormal",30,1,0,99,"B"
"136","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","use.freq","1/year","lognormal",12,1,0,99,"B"
"138","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","use.prev","[-]","point",0.3,1,0,12,"B"
"139","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","use.prev","[-]","point",0.02,1,13,99,"M"
"140","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","use.prev","[-]","point",0.2,1,13,99,"W"
"133","product","AC.0500.050","arts and crafts/office supplies","general arts and crafts supplies","craft kit","volume","m^3","point",24,0,0,99,"B"
"149","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","duration","minutes","lognormal",30,1,0,99,"B"
"144","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","f.aerosol","[-]","uniform",0.75,0.192450089729875,0,99,"B"
"153","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","f.contact","[-]","point",0.01,0,0,99,"B"
"146","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","f.drain","[-]","uniform",0.05,0.577350269189626,0,99,"B"
"143","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","f.residual","[-]","point",0.01,0,0,99,"B"
"154","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","house.prev","[-]","point",0.1,1,0,99,"B"
"147","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","mass","g","lognormal",140,1,0,99,"B"
"148","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","use.freq","1/year","lognormal",3,1,0,99,"B"
"150","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","use.prev","[-]","point",0.01,1,0,12,"B"
"151","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","use.prev","[-]","point",0.1,1,13,99,"M"
"152","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","use.prev","[-]","point",0.1,1,13,99,"W"
"145","product","AC.0500.060","arts and crafts/office supplies","general arts and crafts supplies","flocking","volume","m^3","point",24,0,0,99,"B"
"159","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","duration","minutes","lognormal",30,1,0,99,"B"
"163","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","f.contact","[-]","point",0.05,0,0,99,"B"
"155","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","f.residual","[-]","point",0.01,0,0,99,"B"
"164","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","house.prev","[-]","point",1,1,0,99,"B"
"157","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","mass","g","lognormal",0.1,1,0,99,"B"
"158","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","use.freq","1/year","lognormal",365,1,0,99,"B"
"160","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","use.prev","[-]","point",1,1,0,12,"B"
"161","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","use.prev","[-]","point",1,1,13,99,"M"
"162","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","use.prev","[-]","point",1,1,13,99,"W"
"156","product","AC.0700.020","arts and crafts/office supplies","home office","pens and markers","volume","m^3","point",24,0,0,99,"B"
"170","product","AC.0700.030","arts and crafts/office supplies","home office","white out","duration","minutes","lognormal",8,1,0,99,"B"
"174","product","AC.0700.030","arts and crafts/office supplies","home office","white out","f.contact","[-]","point",0.17,0,0,99,"B"
"167","product","AC.0700.030","arts and crafts/office supplies","home office","white out","f.drain","[-]","uniform",0.05,0.577350269189626,0,99,"B"
"165","product","AC.0700.030","arts and crafts/office supplies","home office","white out","f.residual","[-]","point",0.01,0,0,99,"B"
"175","product","AC.0700.030","arts and crafts/office supplies","home office","white out","house.prev","[-]","point",0.02,1,0,99,"B"
"168","product","AC.0700.030","arts and crafts/office supplies","home office","white out","mass","g","lognormal",3,1,0,99,"B"
"169","product","AC.0700.030","arts and crafts/office supplies","home office","white out","use.freq","1/year","lognormal",40,1,0,99,"B"
"171","product","AC.0700.030","arts and crafts/office supplies","home office","white out","use.prev","[-]","point",0,1,0,12,"B"
"172","product","AC.0700.030","arts and crafts/office supplies","home office","white out","use.prev","[-]","point",0.02,1,13,99,"M"
"173","product","AC.0700.030","arts and crafts/office supplies","home office","white out","use.prev","[-]","point",0.02,1,13,99,"W"
"166","product","AC.0700.030","arts and crafts/office supplies","home office","white out","volume","m^3","point",24,0,0,99,"B"
"181","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","duration","minutes","lognormal",60,1,0,99,"B"
"185","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","f.contact","[-]","point",0.005,0,0,99,"B"
"178","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","f.drain","[-]","uniform",0.05,0.577350269189626,0,99,"B"
"176","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","f.residual","[-]","point",0.01,0,0,99,"B"
"186","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","house.prev","[-]","point",0.01,1,0,99,"B"
"179","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","mass","g","lognormal",100,1,0,99,"B"
"180","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","use.freq","1/year","lognormal",24,1,0,99,"B"
"182","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","use.prev","[-]","point",0.01,1,0,12,"B"
"183","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","use.prev","[-]","point",0.01,1,13,99,"M"
"184","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","use.prev","[-]","point",0.01,1,13,99,"W"
"177","product","AC.0800.010","arts and crafts/office supplies","pottery making","glaze","volume","m^3","point",24,0,0,99,"B"
"191","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","duration","minutes","lognormal",10,1,0,99,"B"
"195","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","f.contact","[-]","point",0.033,0,0,99,"B"
"187","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","f.residual","[-]","point",0.5,0,0,99,"B"
"196","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","house.prev","[-]","point",0.73,1,0,99,"B"
"189","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","mass","g","lognormal",15,1,0,99,"B"
"190","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","use.freq","1/year","lognormal",52,1,0,99,"B"
"192","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","use.prev","[-]","point",0,1,0,12,"B"
"193","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","use.prev","[-]","point",0.73,1,13,99,"M"
"194","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","use.prev","[-]","point",0.73,1,13,99,"W"
"188","product","CP.0100.010","cleaning products and household care","air freshener","air freshener","volume","m^3","point",24,0,0,99,"B"
"202","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","duration","minutes","lognormal",16,1,0,99,"B"
"206","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","f.contact","[-]","point",0.01,0,0,99,"B"
"199","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","f.drain","[-]","uniform",1,0,0,99,"B"
"197","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","f.residual","[-]","point",0.01,0,0,99,"B"
"207","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","house.prev","[-]","point",0.8,1,0,99,"B"
"200","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","mass","g","lognormal",50,1,0,99,"B"
"201","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","use.freq","1/year","lognormal",130,1,0,99,"B"
"203","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","use.prev","[-]","point",0,1,0,12,"B"
"204","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","use.prev","[-]","point",0.68,1,13,99,"M"
"205","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","use.prev","[-]","point",0.8,1,13,99,"W"
"198","product","CP.0200.010","cleaning products and household care","bathroom","bathroom cleaner","volume","m^3","point",24,0,0,99,"B"
"213","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","duration","minutes","lognormal",110,1,0,99,"B"
"217","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","f.contact","[-]","point",0.01,0,0,99,"B"
"210","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","f.drain","[-]","uniform",1,0,0,99,"B"
"208","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","f.residual","[-]","point",0.01,0,0,99,"B"
"218","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","house.prev","[-]","point",0.52,1,0,99,"B"
"211","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","mass","g","lognormal",500,1,0,99,"B"
"212","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","use.freq","1/year","lognormal",12,1,0,99,"B"
"214","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","use.prev","[-]","point",0,1,0,12,"B"
"215","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","use.prev","[-]","point",0.49,1,13,99,"M"
"216","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","use.prev","[-]","point",0.52,1,13,99,"W"
"209","product","CP.0300.010","cleaning products and household care","carpet and floor","carpet cleaner","volume","m^3","point",24,0,0,99,"B"
"224","product","CP.0300.020","cleaning products and household care","carpet and floor","carpet deodorizer","duration","minutes","lognormal",22,1,0,99,"B"
"228","product","CP.0300.020","cleaning products and household care","carpet and floor","carpet deodorizer","f.contact","[-]","point",0.01,0,0,99,"B"
